Brand,Price,Color,Features,Condition,GPU,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Ram Size
10,440.2,19,1,1,4,5,4,69.0,69.0,69.0
1,381.5,0,4,8,0,0,4,69.0,480.0,69.0
1,314.5,19,8,8,0,0,4,69.0,240.0,69.0
1,408.2,0,7,8,0,0,4,69.0,480.0,69.0
7,91.3,19,1,1,4,5,4,69.0,69.0,69.0
10,481.0,19,1,8,0,5,4,69.0,69.0,69.0
10,222.9,19,1,8,4,5,4,69.0,69.0,69.0
10,128.5,19,1,1,4,5,4,69.0,69.0,69.0
10,408.5,19,1,8,0,5,4,69.0,69.0,69.0
10,488.8,0,1,7,0,5,4,69.0,69.0,69.0
10,28.98,19,1,1,4,5,4,69.0,69.0,69.0
10,94.4,19,1,1,4,5,4,69.0,69.0,69.0
10,125.94,19,1,1,4,5,4,69.0,69.0,69.0
10,361.8,19,1,8,0,5,4,69.0,69.0,69.0
10,130.0,19,1,1,4,5,4,69.0,69.0,69.0
10,2130.0,19,10,7,0,0,0,69.0,120.0,69.0
1,462.8,0,8,8,0,0,4,69.0,960.0,69.0
10,105.0,19,1,1,4,5,4,69.0,69.0,69.0
10,2270.0,19,1,7,0,5,4,69.0,69.0,69.0
10,26.52,19,1,1,4,5,4,69.0,69.0,69.0
2,1701.0,0,4,8,0,0,0,69.0,4.0,69.0
1,477.8,0,7,8,0,0,4,69.0,960.0,69.0
10,117.44,19,1,1,4,5,4,69.0,69.0,69.0
5,55.12,19,1,1,4,5,4,69.0,69.0,69.0
10,104.7,19,1,1,4,5,4,69.0,69.0,69.0
10,28.8,19,1,10,4,5,4,69.0,69.0,69.0
9,50.78,19,1,1,4,5,4,69.0,69.0,69.0
10,84.9,19,1,8,4,5,4,69.0,69.0,69.0
10,721.0,19,1,8,0,5,4,69.0,69.0,69.0
2,607.0,1,15,8,0,0,0,69.0,256.0,69.0
10,416.2,19,7,8,0,0,0,69.0,480.0,69.0
10,737.0,19,1,7,0,5,4,69.0,69.0,69.0
5,90.06,19,1,10,4,5,4,69.0,69.0,69.0
10,64.0,19,1,10,4,5,4,69.0,69.0,69.0
10,48.66,19,1,10,4,5,4,69.0,69.0,69.0
7,92.1,19,1,1,4,5,4,69.0,69.0,69.0
1,485.8,19,4,8,0,0,4,69.0,2.0,69.0
10,462.0,19,7,8,0,0,0,69.0,480.0,69.0
10,377.8,19,2,8,0,0,4,69.0,120.0,69.0
7,112.25,19,1,1,4,5,4,69.0,69.0,69.0
10,92.6,19,1,1,4,5,4,69.0,69.0,69.0
10,379.0,19,1,7,0,5,4,69.0,69.0,69.0
9,92.1,19,1,1,4,5,4,69.0,69.0,69.0
10,310.5,19,1,1,4,5,4,69.0,69.0,69.0
2,72.2,19,1,1,4,5,4,69.0,69.0,69.0
10,128.1,19,1,1,4,5,4,69.0,69.0,69.0
10,45.28,19,1,1,4,5,4,69.0,69.0,69.0
10,124.25,19,1,1,4,5,4,69.0,69.0,69.0
10,108.75,19,1,1,4,5,4,69.0,69.0,69.0
10,106.6,19,1,1,4,5,4,69.0,69.0,69.0
7,90.75,19,1,1,4,5,4,69.0,69.0,69.0
10,234.0,19,1,1,4,5,4,69.0,69.0,69.0
10,2080.0,19,1,7,0,5,4,69.0,69.0,69.0
10,2146.0,19,1,7,0,5,4,69.0,69.0,69.0
10,82.2,19,1,1,4,5,4,69.0,69.0,69.0
9,74.3,19,1,1,4,5,4,69.0,69.0,69.0
10,198.4,19,1,1,4,5,4,69.0,69.0,69.0
10,431.5,19,7,8,0,0,0,69.0,120.0,69.0
10,570.0,0,1,7,0,5,4,69.0,69.0,69.0
1,458.8,19,1,8,1,0,4,69.0,960.0,69.0
10,123.06,19,1,10,4,5,4,69.0,69.0,69.0
9,89.9,19,1,1,4,5,4,69.0,69.0,69.0
10,114.9,19,1,1,4,5,4,69.0,69.0,69.0
10,275.8,19,1,10,4,5,4,69.0,69.0,69.0
10,377.8,19,2,8,0,0,4,69.0,256.0,69.0
10,70.0,19,1,1,4,5,4,69.0,69.0,69.0
10,52.84,19,1,1,4,5,4,69.0,69.0,69.0
10,197.2,19,1,7,0,5,4,69.0,69.0,69.0
10,411.5,0,1,7,0,5,4,69.0,69.0,69.0
1,362.5,19,7,8,0,0,4,69.0,240.0,69.0
1,180.0,0,1,8,4,0,0,69.0,256.0,8.0
10,58.62,19,1,10,4,5,4,69.0,69.0,69.0
10,310.0,19,1,6,0,5,4,69.0,69.0,69.0
10,119.06,19,1,1,4,5,4,69.0,69.0,69.0
10,126.25,19,1,1,4,5,4,69.0,69.0,69.0
10,21.7,19,1,8,4,5,4,69.0,69.0,69.0
10,100.4,19,1,1,4,5,4,69.0,69.0,69.0
5,142.0,19,1,1,4,5,4,69.0,69.0,69.0
2,567.5,19,7,8,0,0,0,69.0,240.0,69.0
10,13.02,19,1,8,4,5,4,69.0,69.0,69.0
1,483.0,19,1,8,0,0,4,69.0,120.0,69.0
10,431.8,0,7,8,0,0,0,69.0,120.0,69.0
10,489.8,19,1,8,0,5,4,69.0,69.0,69.0
10,8.68,19,1,8,4,5,4,69.0,69.0,69.0
10,1144.0,19,1,7,0,5,4,69.0,69.0,69.0
